bin,different,total,language_id,speaker_id,group_id,n_observed_chips,n_missing_chips,n_valid_pairs,distance,language_K
25,89,92,1,3,1:3,330,0,54285,142.48860044137646,7
26,35,36,1,3,1:3,330,0,54285,148.07638869397948,7
27,20,20,1,3,1:3,330,0,54285,153.66417694658247,7
28,8,8,1,3,1:3,330,0,54285,159.25196519918546,7
29,4,4,1,3,1:3,330,0,54285,164.83975345178845,7
0,40,233,1,4,1:4,330,0,54285,2.7938941263014994,7
1,102,442,1,4,1:4,330,0,54285,8.381682378904499,7
2,342,1110,1,4,1:4,330,0,54285,13.969470631507498,7
3,499,1401,1,4,1:4,330,0,54285,19.557258884110496,7
4,818,1712,1,4,1:4,330,0,54285,25.145047136713494,7
5,976,1864,1,4,1:4,330,0,54285,30.73283538931649,7
6,1496,2492,1,4,1:4,330,0,54285,36.3206236419195,7
7,1933,2902,1,4,1:4,330,0,54285,41.90841189452249,7
8,2168,3134,1,4,1:4,330,0,54285,47.49620014712549,7
9,2853,3768,1,4,1:4,330,0,54285,53.08398839972848,7
10,3290,4162,1,4,1:4,330,0,54285,58.67177665233149,7
11,4278,4991,1,4,1:4,330,0,54285,64.25956490493448,7
12,4585,5174,1,4,1:4,330,0,54285,69.84735315753748,7
13,4467,4955,1,4,1:4,330,0,54285,75.43514141014049,7
14,3243,3638,1,4,1:4,330,0,54285,81.02292966274348,7
15,2621,2971,1,4,1:4,330,0,54285,86.61071791534647,7
16,2142,2406,1,4,1:4,330,0,54285,92.19850616794949,7
17,1656,1885,1,4,1:4,330,0,54285,97.78629442055248,7
18,1348,1521,1,4,1:4,330,0,54285,103.37408267315547,7
19,1006,1106,1,4,1:4,330,0,54285,108.96187092575848,7
20,821,933,1,4,1:4,330,0,54285,114.54965917836148,7
21,490,555,1,4,1:4,330,0,54285,120.13744743096447,7
22,363,395,1,4,1:4,330,0,54285,125.72523568356746,7
23,199,227,1,4,1:4,330,0,54285,131.31302393617045,7
24,122,148,1,4,1:4,330,0,54285,136.90081218877347,7
25,87,92,1,4,1:4,330,0,54285,142.48860044137646,7
26,35,36,1,4,1:4,330,0,54285,148.07638869397948,7
27,20,20,1,4,1:4,330,0,54285,153.66417694658247,7
28,8,8,1,4,1:4,330,0,54285,159.25196519918546,7
29,4,4,1,4,1:4,330,0,54285,164.83975345178845,7
0,50,233,1,5,1:5,330,0,54285,2.7938941263014994,7
1,140,442,1,5,1:5,330,0,54285,8.381682378904499,7
2,412,1110,1,5,1:5,330,0,54285,13.969470631507498,7
3,620,1401,1,5,1:5,330,0,54285,19.557258884110496,7
4,906,1712,1,5,1:5,330,0,54285,25.145047136713494,7
5,1034,1864,1,5,1:5,330,0,54285,30.73283538931649,7
6,1553,2492,1,5,1:5,330,0,54285,36.3206236419195,7
7,1921,2902,1,5,1:5,330,0,54285,41.90841189452249,7
8,2161,3134,1,5,1:5,330,0,54285,47.49620014712549,7
9,2851,3768,1,5,1:5,330,0,54285,53.08398839972848,7
10,3334,4162,1,5,1:5,330,0,54285,58.67177665233149,7
11,4232,4991,1,5,1:5,330,0,54285,64.25956490493448,7
12,4573,5174,1,5,1:5,330,0,54285,69.84735315753748,7
13,4467,4955,1,5,1:5,330,0,54285,75.43514141014049,7
14,3306,3638,1,5,1:5,330,0,54285,81.02292966274348,7
15,2682,2971,1,5,1:5,330,0,54285,86.61071791534647,7
16,2163,2406,1,5,1:5,330,0,54285,92.19850616794949,7
17,1668,1885,1,5,1:5,330,0,54285,97.78629442055248,7
18,1376,1521,1,5,1:5,330,0,54285,103.37408267315547,7
19,989,1106,1,5,1:5,330,0,54285,108.96187092575848,7
20,843,933,1,5,1:5,330,0,54285,114.54965917836148,7
21,481,555,1,5,1:5,330,0,54285,120.13744743096447,7
22,347,395,1,5,1:5,330,0,54285,125.72523568356746,7
23,185,227,1,5,1:5,330,0,54285,131.31302393617045,7
24,129,148,1,5,1:5,330,0,54285,136.90081218877347,7
25,81,92,1,5,1:5,330,0,54285,142.48860044137646,7
26,34,36,1,5,1:5,330,0,54285,148.07638869397948,7
27,20,20,1,5,1:5,330,0,54285,153.66417694658247,7
28,8,8,1,5,1:5,330,0,54285,159.25196519918546,7
29,4,4,1,5,1:5,330,0,54285,164.83975345178845,7
0,66,233,1,6,1:6,330,0,54285,2.7938941263014994,7
1,159,442,1,6,1:6,330,0,54285,8.381682378904499,7
2,451,1110,1,6,1:6,330,0,54285,13.969470631507498,7
3,638,1401,1,6,1:6,330,0,54285,19.557258884110496,7
4,967,1712,1,6,1:6,330,0,54285,25.145047136713494,7
5,1160,1864,1,6,1:6,330,0,54285,30.73283538931649,7
6,1736,2492,1,6,1:6,330,0,54285,36.3206236419195,7
7,2120,2902,1,6,1:6,330,0,54285,41.90841189452249,7
8,2509,3134,1,6,1:6,330,0,54285,47.49620014712549,7
9,3167,3768,1,6,1:6,330,0,54285,53.08398839972848,7
10,3623,4162,1,6,1:6,330,0,54285,58.67177665233149,7
11,4534,4991,1,6,1:6,330,0,54285,64.25956490493448,7
12,4758,5174,1,6,1:6,330,0,54285,69.84735315753748,7
13,4563,4955,1,6,1:6,330,0,54285,75.43514141014049,7
14,3354,3638,1,6,1:6,330,0,54285,81.02292966274348,7
15,2729,2971,1,6,1:6,330,0,54285,86.61071791534647,7
16,2226,2406,1,6,1:6,330,0,54285,92.19850616794949,7
17,1722,1885,1,6,1:6,330,0,54285,97.78629442055248,7
18,1409,1521,1,6,1:6,330,0,54285,103.37408267315547,7
19,1014,1106,1,6,1:6,330,0,54285,108.96187092575848,7
20,847,933,1,6,1:6,330,0,54285,114.54965917836148,7
21,492,555,1,6,1:6,330,0,54285,120.13744743096447,7
22,363,395,1,6,1:6,330,0,54285,125.72523568356746,7
23,201,227,1,6,1:6,330,0,54285,131.31302393617045,7
24,132,148,1,6,1:6,330,0,54285,136.90081218877347,7
25,84,92,1,6,1:6,330,0,54285,142.48860044137646,7
26,34,36,1,6,1:6,330,0,54285,148.07638869397948,7
27,19,20,1,6,1:6,330,0,54285,153.66417694658247,7
28,8,8,1,6,1:6,330,0,54285,159.25196519918546,7
29,4,4,1,6,1:6,330,0,54285,164.83975345178845,7
0,110,233,1,7,1:7,330,0,54285,2.7938941263014994,7
1,184,442,1,7,1:7,330,0,54285,8.381682378904499,7
2,556,1110,1,7,1:7,330,0,54285,13.969470631507498,7
3,860,1401,1,7,1:7,330,0,54285,19.557258884110496,7
4,1065,1712,1,7,1:7,330,0,54285,25.145047136713494,7
5,1236,1864,1,7,1:7,330,0,54285,30.73283538931649,7
6,1843,2492,1,7,1:7,330,0,54285,36.3206236419195,7
7,2178,2902,1,7,1:7,330,0,54285,41.90841189452249,7
8,2486,3134,1,7,1:7,330,0,54285,47.49620014712549,7
9,3092,3768,1,7,1:7,330,0,54285,53.08398839972848,7
10,3579,4162,1,7,1:7,330,0,54285,58.67177665233149,7
11,4404,4991,1,7,1:7,330,0,54285,64.25956490493448,7
12,4745,5174,1,7,1:7,330,0,54285,69.84735315753748,7
13,4565,4955,1,7,1:7,330,0,54285,75.43514141014049,7
14,3311,3638,1,7,1:7,330,0,54285,81.02292966274348,7
15,2705,2971,1,7,1:7,330,0,54285,86.61071791534647,7
16,2213,2406,1,7,1:7,330,0,54285,92.19850616794949,7
17,1730,1885,1,7,1:7,330,0,54285,97.78629442055248,7
18,1405,1521,1,7,1:7,330,0,54285,103.37408267315547,7
19,1005,1106,1,7,1:7,330,0,54285,108.96187092575848,7
20,879,933,1,7,1:7,330,0,54285,114.54965917836148,7
21,503,555,1,7,1:7,330,0,54285,120.13744743096447,7
22,365,395,1,7,1:7,330,0,54285,125.72523568356746,7
23,197,227,1,7,1:7,330,0,54285,131.31302393617045,7
24,137,148,1,7,1:7,330,0,54285,136.90081218877347,7
25,89,92,1,7,1:7,330,0,54285,142.48860044137646,7
26,34,36,1,7,1:7,330,0,54285,148.07638869397948,7
27,20,20,1,7,1:7,330,0,54285,153.66417694658247,7
28,8,8,1,7,1:7,330,0,54285,159.25196519918546,7
29,4,4,1,7,1:7,330,0,54285,164.83975345178845,7
0,77,233,1,8,1:8,330,0,54285,2.7938941263014994,7
1,177,442,1,8,1:8,330,0,54285,8.381682378904499,7
2,572,1110,1,8,1:8,330,0,54285,13.969470631507498,7
3,784,1401,1,8,1:8,330,0,54285,19.557258884110496,7
4,1081,1712,1,8,1:8,330,0,54285,25.145047136713494,7
5,1253,1864,1,8,1:8,330,0,54285,30.73283538931649,7
6,1861,2492,1,8,1:8,330,0,54285,36.3206236419195,7
7,2236,2902,1,8,1:8,330,0,54285,41.90841189452249,7
8,2562,3134,1,8,1:8,330,0,54285,47.49620014712549,7
9,3221,3768,1,8,1:8,330,0,54285,53.08398839972848,7
10,3638,4162,1,8,1:8,330,0,54285,58.67177665233149,7
11,4542,4991,1,8,1:8,330,0,54285,64.25956490493448,7
12,4774,5174,1,8,1:8,330,0,54285,69.84735315753748,7
13,4595,4955,1,8,1:8,330,0,54285,75.43514141014049,7
14,3336,3638,1,8,1:8,330,0,54285,81.02292966274348,7
15,2716,2971,1,8,1:8,330,0,54285,86.61071791534647,7
16,2225,2406,1,8,1:8,330,0,54285,92.19850616794949,7
17,1707,1885,1,8,1:8,330,0,54285,97.78629442055248,7
18,1381,1521,1,8,1:8,330,0,54285,103.37408267315547,7
19,1001,1106,1,8,1:8,330,0,54285,108.96187092575848,7
20,826,933,1,8,1:8,330,0,54285,114.54965917836148,7
21,490,555,1,8,1:8,330,0,54285,120.13744743096447,7
22,336,395,1,8,1:8,330,0,54285,125.72523568356746,7
23,187,227,1,8,1:8,330,0,54285,131.31302393617045,7
24,121,148,1,8,1:8,330,0,54285,136.90081218877347,7
25,79,92,1,8,1:8,330,0,54285,142.48860044137646,7
26,32,36,1,8,1:8,330,0,54285,148.07638869397948,7
27,20,20,1,8,1:8,330,0,54285,153.66417694658247,7
28,8,8,1,8,1:8,330,0,54285,159.25196519918546,7
29,4,4,1,8,1:8,330,0,54285,164.83975345178845,7
0,72,233,1,9,1:9,330,0,54285,2.7938941263014994,7
1,193,442,1,9,1:9,330,0,54285,8.381682378904499,7
2,562,1110,1,9,1:9,330,0,54285,13.969470631507498,7
3,765,1401,1,9,1:9,330,0,54285,19.557258884110496,7
4,1139,1712,1,9,1:9,330,0,54285,25.145047136713494,7
5,1332,1864,1,9,1:9,330,0,54285,30.73283538931649,7
6,1907,2492,1,9,1:9,330,0,54285,36.3206236419195,7
7,2292,2902,1,9,1:9,330,0,54285,41.90841189452249,7
8,2625,3134,1,9,1:9,330,0,54285,47.49620014712549,7
9,3251,3768,1,9,1:9,330,0,54285,53.08398839972848,7
10,3658,4162,1,9,1:9,330,0,54285,58.67177665233149,7
11,4517,4991,1,9,1:9,330,0,54285,64.25956490493448,7
12,4755,5174,1,9,1:9,330,0,54285,69.84735315753748,7
13,4521,4955,1,9,1:9,330,0,54285,75.43514141014049,7
14,3312,3638,1,9,1:9,330,0,54285,81.02292966274348,7
15,2695,2971,1,9,1:9,330,0,54285,86.61071791534647,7
16,2182,2406,1,9,1:9,330,0,54285,92.19850616794949,7
17,1723,1885,1,9,1:9,330,0,54285,97.78629442055248,7
18,1393,1521,1,9,1:9,330,0,54285,103.37408267315547,7
19,1016,1106,1,9,1:9,330,0,54285,108.96187092575848,7
20,858,933,1,9,1:9,330,0,54285,114.54965917836148,7
21,508,555,1,9,1:9,330,0,54285,120.13744743096447,7
22,374,395,1,9,1:9,330,0,54285,125.72523568356746,7
23,199,227,1,9,1:9,330,0,54285,131.31302393617045,7
24,133,148,1,9,1:9,330,0,54285,136.90081218877347,7
25,86,92,1,9,1:9,330,0,54285,142.48860044137646,7
26,31,36,1,9,1:9,330,0,54285,148.07638869397948,7
27,18,20,1,9,1:9,330,0,54285,153.66417694658247,7
28,8,8,1,9,1:9,330,0,54285,159.25196519918546,7
29,4,4,1,9,1:9,330,0,54285,164.83975345178845,7
0,116,233,1,10,1:10,330,0,54285,2.7938941263014994,7
1,201,442,1,10,1:10,330,0,54285,8.381682378904499,7
2,562,1110,1,10,1:10,330,0,54285,13.969470631507498,7
3,761,1401,1,10,1:10,330,0,54285,19.557258884110496,7
4,989,1712,1,10,1:10,330,0,54285,25.145047136713494,7
5,1101,1864,1,10,1:10,330,0,54285,30.73283538931649,7
6,1524,2492,1,10,1:10,330,0,54285,36.3206236419195,7
7,1894,2902,1,10,1:10,330,0,54285,41.90841189452249,7
8,2184,3134,1,10,1:10,330,0,54285,47.49620014712549,7
9,2759,3768,1,10,1:10,330,0,54285,53.08398839972848,7
10,3235,4162,1,10,1:10,330,0,54285,58.67177665233149,7
