language_id,mean_speaker_K_rarefied,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_delta50,boot_delta_lo,boot_delta_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible,language_K
1,6.677734191172707,6.395678058294751,6.959894626472795,5.811701797168931,5.490347504178609,6.142480357707917,11.465410063878453,5.780313517021353,17.726158051770163,330.0,330.0,25,25,7
2,9.118054960846031,7.935215977803946,10.317896667690917,7.248628791318697,6.407143458903929,8.096054579677357,19.688392486196268,13.081874493507767,26.048885925760878,321.4583333333333,326.5,24,20,6
3,13.744436470979185,10.990705081686063,16.64930977175579,9.415303864556039,8.031913265660679,10.916630041124797,19.40408717149007,13.023706099653902,25.638964538714973,307.52,324.0,25,16,11
4,9.349147109188655,8.747054268600941,9.977512689253377,7.190406607155434,6.768717359580079,7.618272644583086,29.397054292885592,25.338914192623633,33.170444470317776,329.42857142857144,330.0,35,35,10
5,7.33331423804763,6.9999999998773985,7.999942714265494,6.667906335961672,6.373575512802104,6.963823301238146,24.3624359791271,12.35967537166042,36.32860361962416,330.0,330.0,6,6,7
6,9.963404962395549,8.85229809249298,11.319431097658843,7.574865962423952,6.9209298462275175,8.277324383902883,20.740852360172713,14.567737395919213,26.588515172025733,326.7037037037037,330.0,27,25,10
7,13.925661519313502,13.324064424827684,14.56782103323567,10.298131611715744,9.769542268594778,10.829558316890905,17.393853874075308,12.45427787664284,22.44000962624709,330.0,330.0,25,25,15
8,7.204864582458818,6.727920985348551,7.920129992902032,6.182725085286324,5.888064485922104,6.491125484128732,27.06498061436914,21.356986526519698,32.14886707933533,329.96,330.0,25,25,7
9,6.703510630815466,6.42287975192484,6.959409042774806,5.371076435998736,5.20134752020389,5.539612272138808,27.211254467765013,21.68176902980342,32.11767395120108,327.03333333333336,330.0,30,28,7
10,7.999999956743096,7.999999956743096,7.999999956743096,5.3721000988296,4.9658235013661285,5.801435516806931,17.79446202678112,11.645437270533085,23.696475210704477,327.68,330.0,25,24,6
11,7.073708608027524,6.753804194278153,7.433510498311873,6.312469551706313,5.977646259800344,6.649013650946651,27.383650314340553,21.088668358532427,33.35716848804832,329.96,330.0,25,25,7
12,4.9579344108403385,4.833812883230026,5.079995016900936,4.48484918355707,4.2892106760393345,4.64590750228709,50.489268348959065,48.917295833432256,52.218021025949355,330.0,330.0,25,25,5
13,8.188449037943581,7.405390211755801,9.085132151644842,6.287944070168596,5.788083052989334,6.830898158931697,26.58398633224983,19.43098406493234,33.2793818049643,329.8,330.0,25,25,7
14,4.461344775465676,3.5979388004095405,5.634344909098281,3.6421326789771,3.2453624306347324,4.110278578982261,37.94430136632633,27.807085773058237,48.467695356101984,329.96,330.0,25,25,4
15,8.073008991832554,7.630966380055187,8.510667226872046,5.956510393942584,5.620497375704479,6.29175581764298,25.64507026465001,18.60009596974672,32.13953051652108,329.96,330.0,25,25,9
16,6.593508356515141,6.313617627055889,6.871783982781577,5.605836979933,5.432342679939636,5.784011907238189,26.130232206383877,19.497790557754143,32.18186069645593,330.0,330.0,25,25,6
17,15.274206828606754,14.547606196128424,16.061703372373227,11.359680948869139,10.742473079976861,11.979375149176171,14.00173095243569,9.30913733387266,18.68649276237428,328.56666666666666,330.0,30,30,17
18,7.660206299511633,7.019533472287477,8.324045778332389,5.751600493848523,5.297200859940062,6.199756067663851,14.041977967890794,8.444260706544874,19.90164166733707,329.44,330.0,25,25,8
19,12.12831332725197,11.34486541293086,12.884085754549558,8.608710701116644,8.284538313725786,8.945289393125691,13.216881046337278,7.5878406508259735,18.900138048396105,329.2,330.0,25,25,13
20,8.518717837561296,7.251355000628013,10.513023657919975,6.128421921782688,5.2393540664442115,7.285219534617531,19.819579922972505,8.030653969763076,32.73203662882356,328.72727272727275,329.0,11,11,8
21,6.2756727921760795,6.035777986361083,6.553509389915441,4.544428668378773,4.295019795928521,4.787934614767238,27.325750694570353,17.63012403539435,37.31202584169974,329.92,330.0,25,25,7
22,7.033645167215919,6.5340293019701585,7.615369439712835,5.198679417583852,5.0206708514944065,5.385606195061424,36.40819186770331,29.597690211877712,42.1092214979546,323.44,330.0,25,22,7
23,4.039995417141239,4.0,4.119986251423719,3.8129637752809344,3.7226028562389586,3.8923395318625578,34.53002034103095,25.694022227820824,43.24190573410707,329.96,330.0,25,25,4
24,10.703300570575784,10.26067037690003,11.145938357043294,8.564957996181052,8.278575358726892,8.882813600388998,26.87560205868548,21.941078617960304,31.15150401908611,330.0,330.0,25,25,12
25,6.997730163588887,6.993512110030043,6.999990209763494,4.926073672296743,4.850611271850119,5.007290055788259,38.70071977691394,30.384756366748537,46.705185420916656,329.88,330.0,25,25,7
26,7.0,7.0,7.0,5.343948520666564,5.055123794821451,5.588204557209758,29.564633409494796,22.90556851500638,35.85342778617409,322.8,328.0,25,21,7
27,14.633203740926284,13.285471037563044,15.952389761188002,11.045845547285051,10.121995192151006,11.919231800635316,9.617910870208332,4.463980157198562,15.192726704275211,326.32,328.0,25,24,17
28,8.66198181068922,7.985489651918821,9.425422267258215,6.9409378763798095,6.382882891862342,7.579729983422474,15.291421901685,8.372186841918225,22.158906085507134,328.76,330.0,25,25,9
29,6.589596757563165,6.31381567651483,6.861254121186935,5.449576749999326,5.253549976152959,5.653406021850663,45.27891393029027,40.64377578208114,48.44009326719839,329.92,330.0,25,25,7
30,5.719899788154796,5.52,5.879999999999679,5.232768191871344,5.018396611916281,5.450080716270808,40.06074246857197,33.60489285665867,45.50836539205287,330.0,330.0,25,25,6
31,,,,4.7850098791823,4.426300548358649,5.081985402399669,80.84488428793968,47.4651944330026,114.22419895105062,48.92,34.0,25,0,5
32,6.475348096428603,5.668775512874263,7.32728529397082,4.845570919489714,4.385245179267163,5.3362187877646345,10.164472382629047,4.556751321065786,16.50235250959653,322.76,329.0,25,22,5
