language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,n_observed_chips,n_missing_chips,n_valid_pairs,H_label_MillerMadow,effective_colour_categories,rarefaction_target,rarefaction_eligible
1,1,1:1,6,6.0,330,0,54285,1.7255082296915196,5.615374204497386,313,True
1,2,1:2,7,7.0,330,0,54285,1.7093214300776487,5.525210963300468,313,True
1,3,1:3,6,5.999999999999995,330,0,54285,1.5349009785350443,4.640865961854577,313,True
1,4,1:4,6,5.999885428530992,330,0,54285,1.5579903317010886,4.749267196391308,313,True
1,5,1:5,7,6.997494703877682,330,0,54285,1.6428004132154361,5.169626350176649,313,True
1,6,1:6,6,6.0,330,0,54285,1.7839153720171739,5.953119524616661,313,True
1,7,1:7,7,7.0,330,0,54285,1.8811705083983996,6.561180285868899,313,True
1,8,1:8,7,7.0,330,0,54285,1.9010287679978388,6.692776215785639,313,True
1,9,1:9,7,7.0,330,0,54285,1.920126735809155,6.821822983762881,313,True
1,10,1:10,7,6.997494703877682,330,0,54285,1.6802193654160593,5.366733117647867,313,True
1,11,1:11,8,8.0,330,0,54285,2.0069934778517897,7.4409124157536874,313,True
1,12,1:12,6,6.0,330,0,54285,1.7204603954466249,5.587100147702798,313,True
1,13,1:13,8,7.999995094799492,330,0,54285,1.9715509324758314,7.181806351988584,313,True
1,14,1:14,8,7.999999999999995,330,0,54285,1.9285175242449706,6.8793042766011085,313,True
1,15,1:15,6,6.0,330,0,54285,1.6068333284504868,4.986994025011561,313,True
1,16,1:16,7,7.0,330,0,54285,1.875469793993718,6.52388328169291,313,True
1,17,1:17,7,6.948484848484844,330,0,54285,1.5629644915442271,4.772949661918637,313,True
1,18,1:18,6,5.999999999754795,330,0,54285,1.5401347883678356,4.665219045872193,313,True
1,19,1:19,7,7.0,330,0,54285,1.8574132949203892,6.4071419311243165,313,True
1,20,1:20,5,5.0,330,0,54285,1.5876866671198102,4.892418035810752,313,True
1,21,1:21,7,7.0,330,0,54285,1.7765619655549907,5.909504373532935,313,True
1,22,1:22,7,7.0,330,0,54285,1.8931079071103423,6.639973065704706,313,True
1,23,1:23,6,6.0,330,0,54285,1.612765456131674,5.0166654305847285,313,True
1,24,1:24,7,6.999999999992409,330,0,54285,1.8305839063050124,6.237527727167381,313,True
1,25,1:25,6,5.999999999999788,330,0,54285,1.6204111565379573,5.0551683548546515,313,True
2,1,2:1,7,7.0,318,12,50403,1.8697545207612878,6.486703852702634,313,True
2,2,2:2,10,9.948479747678185,330,0,54285,1.9831806681677175,7.265816422242141,313,True
2,3,2:3,9,8.94848484848485,330,0,54285,2.0363667900033287,7.662718298087408,313,True
2,4,2:4,8,7.948479943284341,330,0,54285,1.8240418563984577,6.196854697040874,313,True
2,5,2:5,14,13.918773006111374,326,4,52975,2.38937579745216,10.906683837980475,313,True
2,6,2:6,6,6.0,329,1,53956,1.647316214743569,5.193024146890183,313,True
2,7,2:7,9,8.955416221084034,327,3,53301,1.7090492747042683,5.523707452051359,313,True
2,8,2:8,14,13.938080495356001,323,7,52003,2.432005040352548,11.381679944613305,313,True
2,9,2:9,7,6.952232283199694,328,2,53628,1.2231873355593863,3.398001061228343,313,True
2,10,2:10,6,6.0,330,0,54285,1.7094957979505738,5.52617446658317,313,True
2,11,2:11,5,5.0,330,0,54285,1.5230584051806197,4.586230318119469,313,True
2,12,2:12,7,7.0,321,9,51360,1.8779123956017487,6.5398380070737545,313,True
2,13,2:13,8,7.951367781154902,329,1,53956,1.8169177826108107,6.152864726874176,313,True
2,14,2:14,11,10.896969696969698,330,0,54285,2.110761102399824,8.254521430476593,313,True
2,15,2:15,16,15.962086709196308,319,11,50721,2.473226377854179,11.86065213154368,313,True
2,16,2:16,13,,308,22,47278,2.1733926281292324,8.788048102188808,313,False
2,17,2:17,10,9.999961163019801,325,5,52650,2.0812495459368687,8.014477117457597,313,True
2,18,2:18,8,8.0,330,0,54285,2.013512299060242,7.4895768384221455,313,True
2,19,2:19,7,,293,37,42778,1.9361431006590106,6.9319634601770765,313,False
2,20,2:20,11,10.999588557993714,320,10,51040,2.2014414804668205,9.038032260997324,313,True
2,21,2:21,10,9.943402797933478,322,8,51681,1.8501117003708358,6.36052995647808,313,True
2,22,2:22,7,6.997775965454237,329,1,53956,1.559000831978939,4.754068757793836,313,True
2,23,2:23,7,,277,53,38226,1.8499211140767389,6.35931784215504,313,False
2,24,2:24,12,,311,19,48205,2.2295418005953094,9.295605862471248,313,False
3,1,3:1,7,,255,75,32385,1.8591556310517083,6.418315056853179,313,False
3,2,3:2,10,9.945979552109737,330,0,54285,1.8061477406671462,6.086953685138871,313,True
3,3,3:3,10,9.999999999995778,329,1,53956,2.09627639432464,8.13581885868222,313,True
3,4,3:4,9,,304,26,46056,1.8087644488258494,6.102902323874731,313,False
3,5,3:5,11,10.89446400963507,330,0,54285,1.6964409943714795,5.454500208993563,313,True
3,6,3:6,22,21.961904569938916,316,14,49770,2.5975810737139087,13.431209602960307,313,True
3,7,3:7,10,,284,46,40186,2.105544152696842,8.211570142122618,313,False
3,8,3:8,31,,257,73,32896,2.9454643138491656,19.01949134984266,313,False
3,9,3:9,9,8.94837027701584,330,0,54285,1.958124475039244,7.086024578513625,313,True
3,10,3:10,12,11.984078328670911,318,12,50403,2.1679126997596234,8.74002193823318,313,True
3,11,3:11,4,4.0,330,0,54285,1.1963259008364797,3.3079408656455693,313,True
3,12,3:12,11,,305,25,46360,2.015807044815994,7.506783247701286,313,False
3,13,3:13,12,11.99852760733838,326,4,52975,2.3040856301167674,10.015016634918657,313,True
3,14,3:14,4,4.0,330,0,54285,1.2584304861286795,3.5198926293833286,313,True
3,15,3:15,14,13.999995094309082,330,0,54285,2.4029013839849847,11.055205289669557,313,True
3,16,3:16,22,21.688279405694157,330,0,54285,2.556540923895698,12.891148639691048,313,True
3,17,3:17,12,,308,22,47278,2.241602608844732,9.408397192397253,313,False
3,18,3:18,17,16.880366550523604,326,4,52975,2.5780209800844616,13.17104658679912,313,True
3,19,3:19,17,16.96499681505503,324,6,52326,2.405228293633975,11.080959706008978,313,True
3,20,3:20,14,13.89423525067939,330,0,54285,2.0221330786147185,7.554421935350268,313,True
3,21,3:21,24,23.888945090514973,318,12,50403,2.4887310148834563,12.045980247731366,313,True
3,22,3:22,17,,177,153,15576,2.2677482520504384,9.657629763794617,313,False
3,23,3:23,12,,305,25,46360,1.935682072162988,6.928768364060319,313,False
3,24,3:24,27,,268,62,35778,2.789563346779591,16.27391219395329,313,False
3,25,3:25,19,18.8608409841861,328,2,53628,2.5078648788451634,12.27868557158134,313,True
4,1,4:1,9,8.94848484848485,330,0,54285,1.961468704658053,7.10976154059193,313,True
4,2,4:2,9,8.94848465287848,330,0,54285,1.859587766351275,6.421089236720338,313,True
4,3,4:3,9,8.999999719601675,329,1,53956,2.027973187966121,7.5986696655682735,313,True
4,4,4:4,8,7.99777582539832,329,1,53956,1.5973383995235693,4.939866959310779,313,True
4,5,4:5,13,12.948474842477676,330,0,54285,2.1710949332025002,8.767879028710821,313,True
4,6,4:6,9,8.999999999992408,330,0,54285,2.0432942832148293,7.715986019942775,313,True
4,7,4:7,9,8.999999999747205,330,0,54285,2.0067924075569237,7.4394164197054025,313,True
4,8,4:8,10,9.999999804393845,330,0,54285,2.0730978614346216,7.9494111873147615,313,True
4,9,4:9,10,9.997494703877683,330,0,54285,2.0628396460448872,7.868281250762908,313,True
