language_id,language_K,mean_rarefied_speaker_K,boot_K_lo,boot_K_hi,mean_effective_categories,boot_eff_lo,boot_eff_hi,mean_information_efficiency,boot_info_lo,boot_info_hi,mean_valid_chips,median_valid_chips,n_speakers,n_rarefaction_eligible
17,17.0,15.274206828606754,14.547606196128424,16.061703372373227,11.359680948869139,10.742473079976863,11.979375149176175,0.5013851819452814,0.4789963125921716,0.520952984302479,328.56666666666666,330.0,30,30
18,8.0,7.660206299511633,7.019533472287477,8.324045778332389,5.751600493848523,5.297200859940062,6.199756067663851,0.2191314624436108,0.190055233778196,0.24831801141375473,329.44,330.0,25,25
19,13.0,12.12831332725197,11.34486541293086,12.884085754549558,8.608710701116642,8.284538313725784,8.945289393125693,0.46176354822973925,0.4494951963176166,0.4735302594651465,329.2,330.0,25,25
20,8.0,8.518717837561296,7.251355000628013,10.513023657919975,6.128421921782688,5.2393540664442115,7.285219534617531,0.3926095700812594,0.3674463496645479,0.42152998264902874,328.72727272727275,329.0,11,11
21,7.0,6.2756727921760795,6.035777986361083,6.553509389915441,4.544428668378773,4.295019795928521,4.787934614767238,0.31485629076605837,0.2999676936794964,0.3277943981029389,329.92,330.0,25,25
22,7.0,7.033645167215919,6.5340293019701585,7.615369439712835,5.19867941758385,5.020670851494406,5.385606195061423,0.3295429519533711,0.30513091785880825,0.3534119967916857,323.44,330.0,25,22
23,4.0,4.039995417141239,4.0,4.119986251423719,3.812963775280935,3.722602856238958,3.8923395318625578,0.20790487535955737,0.17885233587678387,0.235829246728964,329.96,330.0,25,25
24,12.0,10.703300570575784,10.26067037690003,11.145938357043294,8.564957996181054,8.27857535872689,8.882813600388998,0.46783400564164795,0.45070509512474743,0.4825146110981153,330.0,330.0,25,25
25,7.0,6.997730163588887,6.993512110030043,6.999990209763494,4.926073672296743,4.850611271850119,5.007290055788259,0.36183525955055773,0.3531523181896912,0.36979669412203425,329.88,330.0,25,25
26,7.0,7.0,7.0,7.0,5.343948520666565,5.055123794821451,5.5882045572097585,0.3385267310021197,0.3134171875342274,0.3580465154588406,322.8,328.0,25,21
27,17.0,14.633203740926284,13.285471037563044,15.952389761188002,11.045845547285051,10.121995192151006,11.919231800635313,0.4774448145410912,0.4551914729887816,0.4982392988795378,326.32,328.0,25,24
28,9.0,8.66198181068922,7.985489651918821,9.425422267258215,6.940937876379809,6.382882891862342,7.579729983422473,0.3657726831028477,0.33428239308452856,0.397373965460459,328.76,330.0,25,25
29,7.0,6.589596757563165,6.31381567651483,6.861254121186935,5.449576749999326,5.25354997615296,5.653406021850663,0.3789289636888566,0.3670081730883562,0.38958706206753446,329.92,330.0,25,25
30,6.0,5.719899788154796,5.52,5.879999999999679,5.232768191871344,5.01839661191628,5.450080716270808,0.36826911827220676,0.3560159146697651,0.38071437707489825,330.0,330.0,25,25
31,5.0,,,,4.7850098791823,4.426300548358649,5.081985402399669,0.49171382145744547,0.46212741424987747,0.5171136344432062,48.92,34.0,25,0
32,5.0,6.475348096428603,5.668775512874263,7.32728529397082,4.845570919489714,4.385245179267164,5.336218787764635,0.2642300786260144,0.24521236466257482,0.2835380181772898,322.76,329.0,25,22
33,7.0,7.0,7.0,7.0,6.397210472511183,6.363823302771982,6.42687574393532,0.3456280347983386,0.3299896127060316,0.35991432395020384,329.48,330.0,25,25
34,11.0,9.691412963237097,8.777009838231088,10.569744878049752,7.914532687971559,7.2673054249660165,8.575137418305555,0.3840370597148047,0.3576469927568221,0.41032226652375925,327.92,330.0,25,24
35,9.0,7.793612818855726,7.0757712737075,8.465263209240387,6.716261489525876,6.066050096901982,7.28312020893075,0.3912757459468728,0.3628787343634227,0.41705939949459553,329.92,330.0,25,25
36,3.0,3.2357739853505847,3.0,3.549482789605746,2.828465184416822,2.7646382724817204,2.8995403148586245,0.231274144700139,0.22433298916426944,0.2387927315215419,329.92,330.0,25,25
37,7.0,7.35145423970546,6.913603499468661,7.827128603241539,5.869452692087517,5.614981282246216,6.11074124785166,0.36010557518140873,0.34343096918596705,0.3765687482569666,329.8,330.0,25,25
38,10.0,11.250200205221345,10.851987948081547,11.718641758261994,7.845409103836581,7.711449970958063,7.9855880971095905,0.24076640598093585,0.20408983913790205,0.2800679109580007,322.39285714285717,328.5,28,25
39,9.0,9.362687998138085,8.661136815388096,10.04960317403408,7.562610341634694,7.114167595839083,7.991801744894794,0.37903412591331787,0.35972691947556706,0.3985468601155345,330.0,330.0,25,25
40,7.0,7.03041799764103,6.7632866976111545,7.2633171590357435,5.717338992710645,5.427714567765239,6.024570082429947,0.36905586849497146,0.352117186296074,0.3857814296770036,327.8888888888889,330.0,27,26
41,6.0,6.947216195060974,6.66721462944362,7.2652714236829725,5.153979818781217,4.9683697917194145,5.3459735210145505,0.35503367889329496,0.3428698084904716,0.36832457960662635,330.0,330.0,25,25
42,8.0,8.978004486499096,8.232726371122444,9.802771484148613,7.167226860170449,6.765468375336241,7.6080557451306605,0.3578641297170186,0.3252586425155584,0.3893020721345415,329.96,330.0,25,25
43,8.0,6.077681811541328,5.03638511118853,7.29264064668915,5.224149792086548,4.462843157453016,6.1297739307329016,0.3390769680859024,0.2981734193880826,0.38223584247133374,327.2,330.0,25,23
44,8.0,,,,7.516118879196115,6.639352267091521,8.479814959034654,0.33594739862429174,0.3031425256235771,0.36726841242539826,316.68,329.0,25,22
45,10.0,7.835578152333676,7.593512535681071,8.113717969952177,6.3028478801298675,5.922152139735028,6.731901108150115,0.423654905548126,0.4057233778458029,0.44290808387125186,329.44,330.0,25,25
46,12.0,11.05485355975671,10.422432733296414,11.640099326916742,8.406419190354327,8.019602477352331,8.734555331232984,0.4523451749143492,0.43628706339282386,0.46657625289883775,329.96,330.0,25,25
47,6.0,9.128365456764913,7.27491717026027,11.208813211668302,6.442121898874603,5.669082033574286,7.298998786895697,0.36935028388310215,0.35350812780006274,0.3842558059730597,327.72,330.0,25,24
48,7.0,7.309481889606758,6.963076923076575,7.996815286624202,5.556127983864754,5.027492208330456,6.0808270066613135,0.40942770257260896,0.3789710930225328,0.43729051584586587,232.68,261.0,25,3
49,7.0,7.141059236991169,6.778830032446254,7.54292542508008,5.730544660246714,5.382526154050473,6.126268471452312,0.21270626412449467,0.16643779084639346,0.25619133610141764,329.92,330.0,25,25
50,6.0,5.784915946814417,4.985440149174139,6.501574723888939,4.549768037034882,4.048309410360708,5.000830702293725,0.3256284391706989,0.2948761702426953,0.35169256172048224,329.4,330.0,10,10
51,8.0,10.321023682707308,8.711066362135593,12.46565974112927,7.391901390672141,6.661680180143372,8.258988895437078,0.37312344798620345,0.346378948638388,0.3986222854183177,329.12,330.0,25,25
52,9.0,10.522394636771226,9.446402516140331,11.634050158227755,8.298680370824394,7.627643681869975,8.984568178668413,0.4170727044648473,0.39777926096868566,0.4354878092413373,329.88,330.0,25,25
53,6.0,5.8290413071839176,5.52352122314974,6.134758386004403,3.648614556090962,3.5691283688527613,3.723067130759612,0.2201933689405815,0.21304767681226333,0.22711839735696032,328.8421052631579,329.0,19,19
54,7.0,8.291869308527428,7.1429274323791505,9.750438098067807,6.384670040974511,5.868027160946788,7.03367071310798,0.37513279126558013,0.35470809406782866,0.39434916242425805,300.0,315.0,25,13
55,9.0,8.582803505288245,8.13005748666625,9.022889990673134,6.854096411553017,6.527077711096395,7.159099339524242,0.34010308090151925,0.3218401705387712,0.35733431322095577,330.0,330.0,25,25
56,5.0,5.939076528094096,5.349740544280262,6.530740236545016,4.581030250428687,4.200626964875383,4.9636937767326,0.28303531409358446,0.2659224694257707,0.3002913138894874,328.84,330.0,25,25
57,11.0,10.758870666268914,10.056588491869798,11.414756533203533,7.900821637727656,7.283164416225852,8.388170542307227,0.4224578589188337,0.39313622434264117,0.4473788939392984,328.36,330.0,25,24
58,6.0,6.4932469860017825,5.658297548863934,7.426911008179835,4.567550410542083,3.935002583407309,5.282521135724621,0.23717048373205213,0.19132907219631856,0.28062680341503987,317.2,330.0,20,19
59,10.0,11.423162813544993,9.350802782850266,14.117448286157774,7.994874197055826,7.298799014623054,8.706215848457795,0.4024145995195223,0.37481289723782435,0.4339158733542375,281.08,294.0,25,11
60,4.0,5.1411491149157,4.509386635993209,5.814867015583449,4.121077514619442,3.6362817075835903,4.634646883140347,0.25343117186521924,0.22610358796888116,0.28167582091384064,330.0,330.0,25,25
