physical_bins,language_level_corr_mean_E_vs_K,mean_E
10,0.6553286475092748,0.38432588807921825
15,0.6757464376030918,0.36475794689363433
20,0.6971604971717488,0.34606079825659153
25,0.7274550202881689,0.33514714394929224
30,0.7485053277207352,0.3276666087007204
