language_id,speaker_id,group_id,speaker_K_raw,speaker_K_rarefied,H_physical_bin_observed_MillerMadow,H_physical_bin_full,H_label_MillerMadow,I_physical_label_MillerMadow,information_efficiency,effective_colour_categories,n_chips,n_observed_chips,n_missing_chips,n_rarefaction_eligible
1,1,1:1,6,6.0,2.9648905455799617,2.9361026667920824,1.7255082296915196,0.707514421012392,0.24097059990937097,5.615374204497386,330,330,0,True
1,2,1:2,7,7.0,2.9648905455799617,2.9361026667920824,1.7093214300776487,0.9631771643035957,0.32804614606884325,5.525210963300468,330,330,0,True
1,3,1:3,6,5.999999999999995,2.9648905455799617,2.9361026667920824,1.5349009785350443,0.6771922596072387,0.2306432493885247,4.640865961854577,330,330,0,True
1,4,1:4,6,5.999885428530992,2.9648905455799617,2.9361026667920824,1.5579903317010884,0.7965397109366276,0.2712915048733321,4.749267196391307,330,330,0,True
1,5,1:5,7,6.997494703877682,2.9648905455799617,2.9361026667920824,1.6428004132154361,0.783031969892417,0.26669093650868125,5.169626350176649,330,330,0,True
1,6,1:6,6,6.0,2.9648905455799617,2.9361026667920824,1.783915372017174,0.9977550894122627,0.33982295670280044,5.953119524616662,330,330,0,True
1,7,1:7,7,7.0,2.9648905455799617,2.9361026667920824,1.8811705083983996,0.8573750202752751,0.2920112535478956,6.561180285868899,330,330,0,True
1,8,1:8,7,7.0,2.9648905455799617,2.9361026667920824,1.901028767997839,0.8975928573669529,0.3057089479597939,6.69277621578564,330,330,0,True
1,9,1:9,7,7.0,2.9648905455799617,2.9361026667920824,1.920126735809155,0.8677044206057776,0.2955293186507716,6.821822983762881,330,330,0,True
1,10,1:10,7,6.997494703877682,2.9648905455799617,2.9361026667920824,1.6802193654160593,0.7856593861672061,0.26758580176816477,5.366733117647867,330,330,0,True
1,11,1:11,8,8.0,2.9648905455799617,2.9361026667920824,2.0069934778517897,0.9130945757934594,0.31098864018644323,7.4409124157536874,330,330,0,True
1,12,1:12,6,6.0,2.9648905455799617,2.9361026667920824,1.7204603954466247,0.9725264416968651,0.33123039350644534,5.587100147702797,330,330,0,True
1,13,1:13,8,7.999995094799492,2.9648905455799617,2.9361026667920824,1.9715509324758316,0.9066475076995629,0.30879284909003024,7.181806351988586,330,330,0,True
1,14,1:14,8,7.999999999999995,2.9648905455799617,2.9361026667920824,1.9285175242449704,0.9122728805022025,0.3107087810042183,6.879304276601107,330,330,0,True
1,15,1:15,6,6.0,2.9648905455799617,2.9361026667920824,1.6068333284504868,0.7324602304025367,0.24946683189481442,4.986994025011561,330,330,0,True
1,16,1:16,7,7.0,2.9648905455799617,2.9361026667920824,1.8754697939937182,0.6832165683039313,0.23269505389959605,6.523883281692911,330,330,0,True
1,17,1:17,7,6.948484848484844,2.9648905455799617,2.9361026667920824,1.5629644915442271,0.8964125088445026,0.30530693595394676,4.772949661918637,330,330,0,True
1,18,1:18,6,5.999999999754795,2.9648905455799617,2.9361026667920824,1.5401347883678356,0.679408805801662,0.2313981774159036,4.665219045872193,330,330,0,True
