chip_id,physical_bin
1,11
2,10
3,2
4,18
5,10
6,14
7,5
8,18
9,2
10,3
11,8
12,7
13,15
14,8
15,16
16,1
17,6
18,0
19,12
20,5
21,13
22,19
23,9
24,0
25,8
26,11
27,1
28,13
29,10
30,2
31,10
32,9
33,5
34,11
35,14
36,15
37,11
38,13
39,4
40,12
41,6
42,7
43,8
44,1
45,4
46,16
47,15
48,7
49,12
50,18
51,0
52,1
53,18
54,17
55,12
56,14
57,8
58,17
59,16
60,8
61,6
62,9
63,14
64,11
65,13
66,1
67,10
68,9
69,17
70,16
71,18
72,4
73,3
74,16
75,15
76,2
77,12
78,16
79,0
80,11
81,5
82,10
83,19
84,14
85,4
86,9
87,0
88,3
89,0
90,8
91,7
92,1
93,8
94,0
95,1
96,7
97,3
98,6
99,16
100,10
101,18
102,16
103,17
104,16
105,3
106,19
107,1
108,1
109,3
110,7
111,0
112,13
113,0
114,8
115,6
116,16
117,0
118,14
119,4
120,1
121,2
122,4
123,8
124,5
125,2
126,14
127,15
128,7
129,1
130,0
131,3
132,2
133,15
134,0
135,13
136,12
137,15
138,16
139,16
140,11
141,1
142,16
143,5
144,3
145,10
146,7
147,10
148,6
149,5
150,3
151,14
152,9
153,11
154,0
155,0
156,4
157,0
158,1
159,19
160,14
161,10
162,13
163,12
164,11
165,17
166,8
167,16
168,4
169,11
170,8
171,17
172,1
173,13
174,7
175,1
176,6
177,19
178,11
179,18
180,4
181,7
182,18
183,17
184,3
185,2
186,12
187,7
188,12
189,16
190,14
191,12
192,9
193,7
194,18
195,5
196,10
197,9
198,0
199,1
200,12
201,14
202,4
203,13
204,0
205,3
206,1
207,13
208,2
209,15
210,0
211,12
212,2
213,16
214,7
215,9
216,0
217,14
218,7
219,1
220,11
221,1
222,3
223,4
224,1
225,17
226,8
227,0
228,8
229,10
230,1
231,9
232,17
233,16
234,4
235,11
236,7
237,14
238,12
239,14
240,6
241,1
242,19
243,18
244,1
245,6
246,12
247,9
248,15
249,15
250,3
251,10
252,1
253,10
254,16
255,0
256,6
257,8
258,7
259,6
260,19
261,2
262,1
263,16
264,16
265,15
266,2
267,18
268,5
269,9
270,2
271,15
272,1
273,9
274,1
275,7
276,13
277,8
278,14
279,3
280,17
281,4
282,5
283,0
284,1
285,14
286,1
287,17
288,6
289,10
290,1
291,11
292,14
293,1
294,1
295,17
296,3
297,7
298,6
299,4
300,16
301,4
302,1
303,16
304,17
305,18
306,5
307,12
308,9
309,0
310,4
311,11
312,0
313,3
314,1
315,5
316,12
317,18
318,2
319,1
320,17
321,6
322,16
323,15
324,1
325,3
326,7
327,1
328,15
329,2
330,1
